img_emoji;word_count;count_emoji;emotion;tonality;class;clean_text
😂;5;1;smile;positive/negative;0;почему бы и нет 😂
😁;5;1;smile;positive/negative;0;как сесть на диету 😁
😁;6;1;smile;positive/negative;0;когда в душе ещё щенок 😁
😻;6;1;joy;positive;2;новые фотографии нюши просто огненные😻
😍;7;1;joy;positive;2;безумно красивая актриса - алина ланина 😍
😍;10;1;joy;positive;2;подружки клава кока и мари краймбрери отдыхают в оаэ 😍
❤;3;1;joy;positive;2;слава❤️
😍;7;1;joy;positive;2;пeвицa maкsим поделилacь снимкaми cвoиx дoчeк😍
😊;3;1;smile;positive/negative;0;кузьмина умница 😊
😅;3;1;smile;positive/negative;0;токсичный дурилка 😅
🤣;6;1;smile;positive/negative;0;озверевший шахтер похожий на лешего🤣
😅;6;1;smile;positive/negative;0;помните еще этого парня? 😅
😃;8;1;smile;positive/negative;0;встреча через 40 лет 😃 тест на возраст
❤;7;1;joy;positive;2;раньше её хиты покоряли всю страну ❤
😃;8;1;smile;positive/negative;0;встреча через 40 лет 😃 тест на возраст
❤;5;1;joy;positive;2;новинки рэп лирики ❤️
😃;5;1;smile;positive/negative;0;олды на месте? 😃
😂;5;1;smile;positive/negative;0;усатый пухляк из мухосрака 😂
😅;3;1;smile;positive/negative;0;невиданная щедрость 😅
😔;4;1;sadness;negative;4;талантливые были актеры 😔
😌;4;1;joy;positive;2;плюсани, если смотрел 😌
😊;9;1;smile;positive/negative;0;ждет игра и этот волшебный свет за oкном😊
😂;4;1;smile;positive/negative;0;он чертов гений 😂
😍;8;1;joy;positive;2;мeдляки, пoд кoторыe мы тaнцeвaли в мoлодости😍
😍;5;1;joy;positive;2;anivar. самое новое😍
😒;4;1;disgust;neutral/skeptical;10;xopoший был aктep 😒
🤩;6;1;joy;positive;2;плюсани, если нравится этот актёр 🤩
😁;6;1;smile;positive/negative;0;я помню нагиева с волосами 😁
❤;3;1;joy;positive;2;новые медляки❤
😍;4;1;joy;positive;2;шикарный новый альбом😍
😅;5;1;smile;positive/negative;0;нагиева здесь не узнать 😅
🤣;4;1;smile;positive/negative;0;paramount pictures представляет 🤣
😄;6;1;smile;positive/negative;0;плюсани, если смотрел этот шедевр 😄
😂;3;1;smile;positive/negative;0;они существуют 😂
😂;7;1;smile;positive/negative;0;в россии есть свой гарри поттер 😂
😍;5;1;joy;positive;2;узнали эту парочку? 😍
😁;6;1;smile;positive/negative;0;уэнсдэй выходит на новый уровень 😁
💔;3;1;sadness;negative;4;зеленая миля 💔
🤤;5;1;no_emotion;positive/negative;3;приключения джеки чана шедевр 🤤
😎;5;1;no_emotion;positive/negative;3;олды на месте? 😎
💔;3;1;sadness;negative;4;николай петрович 💔
😌;5;1;joy;positive;2;вот она настоящая любовь 😌
😊;4;1;smile;positive/negative;0;очень хорошие актёры 😊
😅;7;1;smile;positive/negative;0;и близко с харди не стоял 😅
😂;2;1;smile;positive/negative;0;хассдей 😂
😍;5;1;joy;positive;2;какая же она красивая 😍
😍;4;1;joy;positive;2;убивашку не узнать 😍
☺;5;1;smile;positive/negative;0;смотрели этот шедевр? ☺
😍;4;1;joy;positive;2;меган фокс красотка 😍
😊;4;1;smile;positive/negative;0;джонни депп великолепен 😊
😰;4;1;fear;negative;5;мужчины тоже плачут 😰
😌;4;1;joy;positive;2;лайк, если смотрел 😌
😃;5;1;smile;positive/negative;0;помните этих ребят? 😃
😔;3;1;sadness;negative;4;грустный фильм 😔
😅;8;1;smile;positive/negative;0;я думал он у них уже есть 😅
💔;4;1;sadness;negative;4;хороший был актёр 💔
😂;4;1;smile;positive/negative;0;выглядит словно фотошоп 😂
😍;7;1;joy;positive;2;безумно красивая актриса - алина ланина 😍
😍;5;1;joy;positive;2;мама, дочь и внучка 😍
🤣;5;1;smile;positive/negative;0;не все это замечали 🤣
😎;5;1;no_emotion;positive/negative;3;олды на месте? 😎
